Names	Species	Order	Family	Common Name	Origin	Status	GeoArea	BodyN	Brain	DiurnalityN	Arboreality	Shelter.safety	Diet	Group.living	Parental.care	Mating.system	Dimorphism	Litter.size	Weaning.age	HR	Population.density	FMR.Riek	Torpor	Play	"Status (Endangered, Vulnerable, Common, Abundant, Rare (or sparse), Declining, Limited)"	BodyM	BodyF	ased
Petaurus_breviceps	Petaurus breviceps	Diprotodontia	Petauridae	Sugarglider	1	1	C	127.5	2.09	1	1	1	3	2	2	2	1.217391304	2	120	0.7	5.01	195.3	1	3	C	140	115	0.016392157
Petaurus_norfolcensis	Petaurus norfolcensis	Diprotodontia	Petauridae	Squirrel glider	1	1	E	230	3.02	1	1	1	2	2	2	2		1.8	120	2.8	1.54	267.8			C			0.013130435
Petrogale_assimilis	Petrogale assimilis	Diprotodontia	Macropodidae	Allied rock wallaby	1	2	E	4500	17.5	3	2	2	1	2	1	2	1.093023256	1	296.5	10	0.86	1227.2		3	L	4700	4300	0.003888889
Petrogale_concinna	Petrogale concinna	Diprotodontia	Macropodidae	Narbarlek	1	2	N	1300	11	3	2	2	1	2	1			1	192.5			646.6			L			0.008461538
Petrogale_penicillata	Petrogale penicillata	Diprotodontia	Macropodidae	Short eared rock wallaby	1	2	E	7100	23.9	1	2	2	1	2	1	1	1.253968254	1	290	15	3	1596.8		3	V	7900	6300	0.003366197
Petrogale_xanthopus	Petrogale xanthopus	Diprotodontia	Macropodidae	Yellow footed rock wallaby	1	2	I	9000	23	1	2	2	1	1	1	2		1	344	200	0.15	2047			V			0.002555556
Petropseudes_dahli	Petropseudes dahli	Diprotodontia	Pseudocheiridae	Rock ringtail possum	1	1	N	1640	5	1	2	2	1	2	2	2		1		0.9	0.18	818.6			C			0.00304878
Phalanger_carmelitae	Phalanger  carmelitae	Diprotodontia	Phalangeridae	Mountain cuscus	2		NG	1000	8.49	1																		0.00849
Phalanger_gymnotis	Phalanger  gymnotis	Diprotodontia	Phalangeridae	Ground cuscus	2		NG	2700	13	1	1	2	1	1	1	1		1	165									0.004814815
Phalanger_orientalis	Phalanger orientalis	Diprotodontia	Phalangeridae	Southern common cuscus	2	1	NG	2000	8.9	1	1	2	1	1	1			1.5				895.3			C			0.00445
Phascogale_calura	Phascogale calura	Dasyuromorphia	Dasyuridae	Red tailed phascogale	1	2	W	51.5	0.91	1	1	1	4	1	1	1	1.395348837	7.5	90	40		74.9			L	60	43	0.017669903
Phascogale_tapoatafa	Phascogale tapoatafa	Dasyuromorphia	Dasyuridae	Brush tailed phascogale	1	2	C	193.5	1.81	1	1	1	4	1	1	1	1.480769231	6.1	159.5		1.11	193.9	0	1	R	231	156	0.009354005
Phascolarctos_cinereus	Phascolarctos cinereus	Diprotodontia	Phascolarctidae	Koala	1	1	E	9500	30.2	3	1	2	1	1	1	1	1.274509804	1	365	100	3	1683.5	0	2	C	6500	5100	0.003178947
Phascolosorex_dorsalis	Phascolosorex dorsalis	Dasyuromorphia	Dasyuridae	Narrow-striped marsupial shrew	2		NG	47.5	1.11	1																		0.023368421
Phascomurexia_naso	Phascomurexia naso	Dasyuromorphia	Dasyuridae	Long-nosed dasyure	2		NG	51.5	0.77	3	2	1	4					3	60									0.014951456
Philander_opossum	Philander opossum	Didelphimorphia	Didelphidae	Gray four eyed opossum	3	1	Am	427	3.83	3	2	2	2	1	1	1		4.7	85	0.39	1.25		0		C			0.008969555
